Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments
-,-,-,m,m,m,m,m,m,t,t,t,-,%,knts,%,kW,-,-,t/day,t/day,kW,-,y/n,y/n,m,rpm,y/n,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,m,-,kW (each),-,m3,m3,m3,m3,m3,m3,m3,m$,Y/N,-
Bang Chui Dao,1995,-,134.8,125,23.4,5.4,8.6,14,3250,15560,-,-,-,20,85,11520,2, Stork-Wartsila 9SW38,43,-,4640,2,y,n,4,165,y,y,1,1,-,1,-,2,1,1,3,2,938,-,-,169,89,-,-,830,0,100,1160,-,22,226,-,80,0,-,1,900,CCS,463,-,115,-,-,-,-,-,Y,-
Isle of Innisfree,1995,-,181.6,172.3,23.4,5.6,8.6,14.4,5285,22365,-,-,-,22,85,23040,4, Sulzer 8ZAL40S,60,-,6700,2,y,n,4.8,150,y,y,1,1,-,2,-,2,0,1,3,1.5,1650,-,-,34,110,-,-,1810,-,333,-,-,74,605,-,109,0,-,2,1500,LR,680,-,165,-,-,2170,-,-,Y,-
Polonia,1995,train,169.9,159,28,5.9,8.65,14.15,7250,29875,-,-,-,20,-,15840,4, Stork Wartsila 6SW38,-,-,10400,2,y,n,4.3,140,y,y,0,1,1,-,-,2,0,1,3,2.3,920,-,-,204,-,-,-,2200,0,0,2560,740,-,-,-,-,-,-,3,1600,DNV,-,-,-,-,-,-,-,-,Y,-
Robin Hood,1995,-,179.6,166,27.2,6,8.7,16.6,6600,26800,-,-,-,18.5,-,18000,4, MaK 6M552C,-,-,-,2,y,n,4.8,135,y,y,1,1,-,6,-,3,1,0,3,1.8,300,-,-,163,41,-,-,2400,-,0,-,-,0,-,-,150,-,-,2,-,GL,-,-,800,-,-,2500,-,-,Y,-
Superfast I,1995,-,173.7,158,24,6.25,8.8,14.1,5240,23663,15280,-,25,26.8,-,31680,4, Sulzer 12ZA40S,144,8.5,5840,2,y,n,4.9,156,y,y,1,3,-,2,-,2,1,0,3,2.4,1400,20,-,200,100,-,-,1800,-,445,-,-,98,-,-,111,-,-,2,1000,ABS,1360,-,92,-,-,1260,500,-,Y,-
Commodore Clipper,1999,-,129.4,117.58,23.4,5,8.6,14.3,2750,14000,-,-,-,18.55,90,8640,2, MaK 9M32,-,-,5800,2,y,n,-,161,y,y,0,1,-,1,-,2,0,0,3,1.5,500,-,80,20,37,11,-,1235,-,0,-,-,-,280,-,-,92,-,2,1300,DNV,300,-,80,-,-,1850,-,-,Y,-
Finnclipper,1999,-,188.3,170,28.7,6,9,15.1,6800,30500,-,-,-,22,-,23040,4, Sulzer 8ZA40S,-,-,6560,2,y,n,-,-,y,y,1,1,-,2,5,3,1,0,3,1.4,454,-,-,192,40,-,-,2450,-,-,-,-,-,-,-,-,-,-,2,1500,LR,1000,-,400,-,-,2000,-,-,Y,-
Blue Star 1,2000,-,176.1,160.48,25.7,6.35,9.4,15.1,4563,29415,-,-,-,27,75,44480,4, MAN L58/64,-,-,6200,2,y,n,5.4,144,y,y,1,2,-,3,-,2,2,0,3,2.7,1600,-,-,161,112,-,-,1745,-,485,-,-,-,-,-,-,-,-,2,1200,LR,880,-,180,-,-,515,-,-,Y,-
Blue Star Ithaki,2000,-,123.8,111.8,18.9,4.9,7.25,12.25,1858,10193,-,-,-,24.1,85,16560,4, Wartsila 9L32,-,-,-,2,y,n,3.9,185,y,y,1,1,-,2,-,2,0,0,2,1.7,1500,-,-,5,38,-,-,-,-,-,-,-,94,-,-,21,-,-,1,950,BV,483,-,62,-,-,738,-,-,Y,-
European Causeway,2000,-,159.5,148,23.4,5.5,9,15.2,4276,20646,-,-,-,22.7,-,31680,4, Wartsila 12V38,12,-,7200,2,y,n,4.25,182,y,y,1,1,-,2,-,2,1,0,2,1,410,-,-,-,55,-,-,1445,-,325,-,-,-,-,-,-,-,13.5,2,1260,LR,1032,-,124,-,-,2488,-,-,Y,-
