Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments,L/B,LBP/LOA,LB,B/T,T/D,B/D,L/D,L/D_Up,LBD,LBD_Up,D_Prop/T,P_I_k,Fn,LDisprat,W_LS,Endurance,Range,A_Projected,P_TB,N_Crew,L_Lane_max_T,L_Lane_add_C,L_Lane_max_C,Lane_Mt,LM/Pas,DWT/Pas,A_Pas,A_Veh,A_Trailer,A_Car,A_Car_max,A_Train
Romantica,2002,,192.9,175.2,29.0,6.5,9.7,15.4,4500.0,39864.0,,,,22.0,85.0,26240,4, Wartsila 16V32,,,12780.0,2,True,False,5.0,141.0,True,True,1.0,2.0,,,,1.0,,,5.0,4.3,2500,,2172.0,727.0,172.0,12.0,,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1800.0,BV,1400.0,0.0,200.0,,,2500.0,,,True,,6.041379310344827,0.9082426127527216,5080.799999999999,4.461538461538462,0.6701030927835052,2.9896907216494846,18.061855670103093,11.376623376623376,49283.75999999999,78244.31999999999,0.7692307692307693,26.24,0.27297450437115667,,,,,1871.136,3600.0,160.0,0,0,1000,1000.0,0.4,1.8,15293.207999999995,2100.0,0.0,0.0,2100.0,0.0
Sabrina,1990,long haul,186.5,171.0,24.8,6.75,9.5,,5770.0,12521.0,15814.0,,5.0,23.2,85.0,23830,2, Diesel United Pielstick 9PC40L,,,3000.0,2,True,False,,,True,True,2.0,2.0,,,,2.0,3.0,0.0,3.0,1.8,694,,,,53.0,,,1445.0,0.0,630.0,0.0,0.0,140.0,0.0,4.5,170.0,0.0,8.5,1,1320.0,JG,,0.0,,,,,,,True,,6.89516129032258,0.9168900804289544,4240.8,3.674074074074074,0.7105263157894737,2.610526315789474,18.0,,40287.6,,,23.83,0.29137775035981844,6.8126414446575865,10044.0,,,,1320.0,,1445,630,630,2075.0,2.989913544668588,8.314121037463977,5343.408,5513.5,4190.5,1323.0,1323.0,0.0
San Sha 1 Hao,2014,cargo,122.3,109.4,21.0,5.2,7.8,14.0,2480.0,12580.0,7800.0,0.6,5.0,18.0,90.0,9200,2,MAN 9L32/40,30.0,4.7,,2,True,False,4.2,,True,True,0.0,1.0,,,,1.0,0.0,0.0,2.0,1.8,450,,,145.0,81.0,7.0,,0.0,0.0,0.0,0.0,0.0,140.0,0.0,4.5,0.0,20.0,12.0,1,700.0,CCS,700.0,0.0,180.0,,,780.0,,,True,,5.20952380952381,0.8945216680294359,2297.4,4.038461538461538,0.6666666666666667,2.6923076923076925,14.025641025641027,7.814285714285715,17919.72,32163.600000000002,0.8076923076923077,9.2,0.2826378366777927,5.516358142509642,5320.0,23.333333333333332,10080.0,1155.2640000000001,700.0,74.0,240,0,630,630.0,1.4,5.511111111111111,2894.724,2019.0,696.0,0.0,1323.0,0.0
Silja Serenade,1990,,202.8,180.7,31.5,6.8,9.3,,4940.0,58400.0,,,,20.0,85.0,32580,4, Wartsila Vasa9R46,,,14000.0,2,True,False,,,True,True,1.0,1.0,,,,1.0,1.0,0.0,4.0,3.4,2500,,,,264.0,,,0.0,0.0,0.0,0.0,0.0,464.0,52.0,4.5,0.0,52.0,18.0,2,1800.0,LR,,0.0,,,,,,,True,,5.7365079365079366,0.891025641025641,5692.049999999999,4.632352941176471,0.7311827956989246,3.387096774193548,19.430107526881716,,52936.064999999995,,,32.58,0.24435283134225064,,,,,,3600.0,,936,234,2088,2088.0,0.8352,1.976,13547.078999999998,7099.200000000001,2714.4,491.40000000000003,4384.8,0.0
Silver Eight,2013,,142.59,130.0,23.4,5.6,,,4028.0,17231.0,,0.596,,20.5,85.0,13930,2, MAN 7L42MC6.1,46.8,5.2,5130.0,2,True,False,4.0,,True,True,1.0,1.0,,3.0,0.0,2.0,1.0,0.0,2.0,1.7,600,,,136.0,14.0,,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.5,68.0,0.0,12.0,2,,JG,,0.0,,,,2334.0,,,True,,5.555555555555556,0.9117048881408233,3042.0,4.178571428571429,,,,,,,0.7142857142857143,13.93,0.29528993289302685,,,,,,,,816,135,135,951.0,1.585,6.713333333333333,3619.9799999999996,2649.9,2366.4,283.5,283.5,0.0
Silver Princess,2012,,150.0,137.5,25.0,5.7,8.0,13.15,4315.0,10536.0,,,,20.5,85.0,14400,2, SEMT Pielstick 12PC2-6B,55.0,,,2,True,False,4.2,,True,True,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,900,,,176.0,20.0,9.0,,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4.5,92.0,0.0,12.0,2,,,612.0,0.0,125.0,,,3056.0,,,True,,5.5,0.9166666666666666,3437.5,4.385964912280701,0.7125,3.125,17.1875,10.456273764258555,27500.0,45203.125,0.7368421052631579,14.4,0.2871236512956602,,,11.127272727272727,5474.618181818182,1229.25,,11.0,1104,135,135,1239.0,1.3766666666666667,4.794444444444444,2406.25,3485.1,3201.6,283.5,283.5,0.0
Sinorail Bohai,2006,train,182.6,164.6,24.8,5.8,9.0,15.0,6466.0,24975.0,,,18.0,18.0,85.0,12000,4, MaK 9M25,38.0,,,2,,True,,,True,True,1.0,0.0,1.0,,,2.0,0.0,0.0,4.0,1.1,480,,,98.0,63.0,,,486.0,0.0,0.0,0.0,735.0,0.0,0.0,4.5,0.0,0.0,12.0,2,710.0,CCS,368.0,0.0,52.0,,,4498.0,,,True,,6.637096774193548,0.9014238773274917,4082.08,4.275862068965518,0.6444444444444444,2.7555555555555555,18.288888888888888,10.973333333333333,36738.72,61231.2,,12.0,0.23042205519416686,,,9.68421052631579,4183.578947368422,1817.1839999999997,1420.0,,486,0,0,1221.0,2.54375,13.470833333333333,3143.2016000000003,3871.6499999999996,1409.3999999999999,0.0,0.0,2462.25
Spirit of Britain,2011,,213.0,197.9,30.8,6.55,9.7,15.5,7664.0,47592.0,24643.0,0.6579999999999999,,22.0,85.0,30400,4, MAN 7L48/60CR,50.0,5.0,6020.0,2,True,False,5.2,,True,True,1.0,1.0,,2.0,1.0,3.0,0.0,0.0,3.0,2.1,2000,,0.0,0.0,110.0,20.0,,2741.0,0.0,1000.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,3,300.0,LR,1230.0,0.0,190.0,,,3292.0,918.0,,True,,6.425324675324675,0.9291079812206573,6095.320000000001,4.702290076335878,0.6752577319587629,3.175257731958763,20.402061855670105,12.76774193548387,59124.604,94477.46,0.7938931297709925,30.4,0.25684211643786425,6.8006110251227385,16979.0,24.6,12988.800000000003,2125.446,900.0,90.0,2741,1000,1000,3741.0,1.8705,3.832,8960.120400000002,10048.9,7948.9,2100.0,2100.0,0.0
Spirit of British Columbia,1993,short haul,167.5,156.0,26.6,5.0,8.0,,3109.0,18790.0,11609.0,,,19.5,85.0,15600,4, MAN 6L40/54,27.0,,6375.0,2,True,False,3.4,215.0,True,True,1.0,1.0,,,,3.0,0.0,1.0,2.0,1.6,2100,1.5,,,52.0,10.0,,0.0,0.0,2300.0,0.0,0.0,470.0,205.0,4.5,0.0,50.0,12.0,2,750.0,ABS,,0.0,360.0,,,770.0,,,True,,5.864661654135338,0.9313432835820895,4149.6,5.32,0.625,3.325,19.5,,33196.8,,0.6799999999999999,15.6,0.256412249298301,6.889583921637192,8500.0,,,,1500.0,42.0,600,923,2300,2300.0,1.0952380952380953,1.4804761904761905,4647.552,6570.0,1740.0,1938.3000000000002,4830.0,0.0
Star,2007,,186.0,170.0,27.7,6.5,9.5,20.9,4700.0,36250.0,,,28.0,27.0,85.0,48000,4, MaK 12M43C,195.0,,,2,True,False,5.3,144.0,,True,1.0,1.0,,1.0,,2.0,0.0,0.0,3.0,2.0,1900,,520.0,131.0,100.0,17.0,,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,BV,975.0,0.0,170.0,,,3250.0,,,True,,6.137184115523466,0.9139784946236559,4709.0,4.2615384615384615,0.6842105263157895,2.9157894736842103,17.894736842105264,8.133971291866029,44735.5,98418.09999999999,0.8153846153846154,48.0,0.34009931694412554,,,5.0,3240.0,2937.6,3000.0,83.0,2010,0,0,2010.0,1.0578947368421052,2.473684210526316,6592.599999999999,5829.0,5829.0,0.0,0.0,0.0
StavangerFjord,2013,,170.0,148.0,27.5,6.35,9.3,,,31678.0,15712.0,0.5977,,21.5,85.0,25600,4,Royce Royce B35:4OV12PG,,,,2,True,False,4.7,,True,True,0.0,2.0,,,,2.0,0.0,1.0,3.0,2.7,1200,,,303.0,100.0,,,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1600.0,DNV,,600.0,,,,1508.0,,,True,,5.381818181818182,0.8705882352941177,4070.0,4.330708661417323,0.6827956989247311,2.9569892473118276,15.913978494623654,,37851.0,,0.7401574803149606,25.6,0.2902512230604454,5.909053089860705,,,,,3200.0,,0,0,1350,1350.0,1.125,,7692.299999999999,2835.0,0.0,0.0,2835.0,0.0
Stena Britannica,2002,,210.8,197.2,29.3,6.3,9.5,15.6,9400.0,43500.0,,,40.0,22.2,85.0,25920,4, MAN 9L40/54,94.6,,,2,True,False,4.85,150.0,True,True,1.0,1.0,,,,2.0,2.0,1.0,3.0,1.2,900,,598.0,246.0,72.0,,,3050.0,0.0,450.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,2200.0,LR,960.0,0.0,400.0,,,3000.0,,,True,,6.73037542662116,0.9354838709677419,5777.96,4.650793650793651,0.6631578947368421,3.0842105263157897,20.757894736842104,12.64102564102564,54890.62,90136.17599999999,0.7698412698412698,25.92,0.2596366371030865,,,10.147991543340382,5406.849894291755,2200.752,4400.0,,3050,450,450,3500.0,3.888888888888889,10.444444444444445,4853.4864,9790.0,8845.0,945.0,945.0,0.0
Stena Hollandica,2010,,240.0,221.75,32.0,6.4,9.0,,11600.0,64000.0,,,,22.0,85.0,33600,2, MAN 48 //  MAN 60,,,,2,True,False,,,True,True,,,,5.0,,3.0,1.0,0.0,4.0,3.0,1200,,1376.0,538.0,85.0,,,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,3000.0,LR,,0.0,,,,,,,True,,6.9296875,0.9239583333333333,7096.0,5.0,0.7111111111111111,3.5555555555555554,24.63888888888889,,63864.0,,,33.6,0.24263716489383136,,,,,,6000.0,,5500,0,0,5500.0,4.583333333333333,9.666666666666666,14901.599999999999,15950.0,15950.0,0.0,0.0,0.0
Sunflower Pearl,2008,,165.5,154.7,27.0,6.0,8.4,14.3,4406.0,20604.0,,,,23.2,85.0,18000,2, SEMT-Pielstick 12PC2-6B,68.0,,5710.0,1,True,False,,,True,True,1.0,1.0,,3.0,,2.0,2.0,,2.0,1.6,748,,480.0,223.0,34.0,9.0,,2000.0,0.0,0.0,3400.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,1,1250.0,JG,510.0,0.0,150.0,,,1980.0,,,True,,5.729629629629629,0.9347432024169183,4176.9,4.5,0.7142857142857143,3.214285714285714,18.416666666666664,10.818181818181817,35085.96,59729.67,,18.0,0.30634393336379995,,,7.5,4176.0,1540.8120000000001,1250.0,25.0,2000,0,3400,3400.0,4.545454545454546,5.890374331550802,4678.128,12940.0,5800.0,0.0,7140.0,0.0
Superfast I,1995,,173.7,158.0,24.0,6.25,8.8,14.1,5240.0,23663.0,15280.0,,25.0,26.8,85.0,31680,4, Sulzer 12ZA40S,144.0,8.5,5840.0,2,True,False,4.9,156.0,True,True,1.0,3.0,,2.0,,2.0,1.0,0.0,3.0,2.4,1400,20.0,,200.0,100.0,,,1800.0,0.0,445.0,0.0,0.0,98.0,0.0,4.5,111.0,0.0,12.0,2,1000.0,ABS,1360.0,0.0,92.0,,,1260.0,500.0,,True,,6.583333333333333,0.9096142774899252,3792.0,3.84,0.7102272727272727,2.727272727272727,17.954545454545453,11.205673758865249,33369.600000000006,53467.2,0.784,31.68,0.35016497729906654,6.3672118829718745,10040.0,9.444444444444445,6074.666666666667,1488.36,2000.0,,1800,445,445,2245.0,1.6035714285714286,3.742857142857143,6370.5599999999995,6154.5,5220.0,934.5,934.5,0.0
Tanit,2012,,210.0,189.6,30.0,7.29,10.5,16.62,6126.0,52.645,,,,27.5,85.0,57600,4, MAN 12V48/60CR,196.0,24.5,11400.0,2,True,False,5.6,,True,True,1.0,1.0,,,,2.0,1.0,1.0,3.0,2.7,3200,,,653.0,285.0,,,1060.0,0.0,349.0,1400.0,0.0,0.0,0.0,4.5,0.0,0.0,14.6,2,1750.0,BV,1780.0,0.0,290.0,,,2450.0,,,True,,6.319999999999999,0.9028571428571428,5688.0,4.11522633744856,0.6942857142857143,2.857142857142857,18.057142857142857,11.407942238267147,59724.0,94534.56000000001,0.7681755829903978,57.6,0.3280046371369426,,,9.081632653061224,5993.877551020408,2122.7616000000003,3500.0,,1060,349,1400,1409.0,0.4403125,1.914375,10750.32,3806.9,3074.0,732.9,2940.0,0.0
Tassili II,2004,,145.0,130.0,24.0,6.0,8.55,,2900.0,,,,,22.0,85.0,25200,2,Wartsila 12V46,,,5760.0,2,True,False,,,True,True,1.0,1.0,,4.0,,2.0,,1.0,4.0,3.6,1308,,1308.0,,119.0,,,1350.0,0.0,0.0,1780.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1000.0,BV,780.0,0.0,150.0,,,1200.0,,,True,,5.416666666666667,0.896551724137931,3120.0,4.0,0.7017543859649122,2.807017543859649,15.204678362573098,,26676.000000000004,,,25.2,0.3168965133486142,,,,,,2000.0,,1350,0,1780,1780.0,1.3608562691131498,2.217125382262997,7862.4,3915.0,3915.0,0.0,3738.0,0.0
Viking Grace,2013,,218.5,200.0,31.8,6.8,9.8,,,57565.0,,,,22.0,85.0,29600,4,Wartsila 8L50DF,,,,2,False,False,5.2,,True,True,1.0,1.0,,,1.0,1.0,1.0,1.0,6.0,4.2,2800,,,880.0,,,,0.0,0.0,1275.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,2300.0,LR,470.0,400.0,178.0,,,1450.0,670.0,,True,,6.289308176100628,0.9153318077803204,6360.0,4.676470588235294,0.693877551020408,3.2448979591836733,20.408163265306122,,62328.00000000001,,0.7647058823529412,29.6,0.25549013701536594,,,,,,4600.0,,0,0,1275,1275.0,0.45535714285714285,,18698.399999999998,2677.5,0.0,0.0,2677.5,0.0
Viking XPRS,2008,,186.71,170.13,27.7,6.55,9.5,15.2,9372.0,35778.0,,,,22.0,85.0,40000,4, Wartsila 8L46F,115.0,12.0,7990.0,2,True,False,5.3,143.0,True,True,1.0,1.0,,2.0,,2.0,0.0,0.0,4.0,3.3,2500,,732.0,238.0,105.0,15.0,,1000.0,0.0,1250.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1500.0,LR,1090.0,0.0,160.0,,,1390.0,,,True,,6.14187725631769,0.9111991859032724,4712.601,4.229007633587786,0.6894736842105263,2.9157894736842103,17.908421052631578,11.192763157894737,44769.7095,71631.5352,0.8091603053435115,40.0,0.27701206581734694,,,9.478260869565217,5004.521739130434,1765.9493999999995,3000.0,90.0,1000,1250,1250,2250.0,0.9,3.7488,10886.108309999998,5525.0,2900.0,2625.0,2625.0,0.0
Volcan De Tamasite,2004,,142.45,125.0,24.2,5.7,8.35,13.55,3000.0,17343.0,,,,22.0,90.0,16800,2,Wartsila 8L46C,67.0,,5520.0,2,True,False,4.2,,True,True,0.0,2.0,,3.0,,2.0,0.0,1.0,2.0,1.7,1466,,,,34.0,8.0,,1279.0,0.0,0.0,0.0,0.0,0.0,403.0,4.5,0.0,0.0,12.0,2,1000.0,BV,620.0,0.0,90.0,,,1685.0,,,True,,5.1652892561983474,0.8775008775008776,3025.0,4.245614035087719,0.6826347305389222,2.8982035928143715,14.970059880239521,9.22509225092251,25258.75,40988.75,0.7368421052631579,16.8,0.32317230107082,,,9.253731343283581,4885.970149253731,1177.5,2000.0,26.0,1279,0,1814,1814.0,1.2373806275579808,2.0463847203274215,3599.7499999999995,7518.5,3709.1,0.0,3809.4,0.0
Wakanatsu Okinawa,1991,freighter,151.13,138.0,23.0,6.4,8.6,13.7,4336.0,14122.0,,,14.0,21.0,85.0,16200,1, SEMT-Pielstick,42.8,,4050.0,1,,False,,,True,True,1.0,1.0,,,1.0,3.0,0.0,0.0,2.0,0.6,150,,,24.0,28.0,10.0,,0.0,0.0,0.0,0.0,0.0,180.0,0.0,4.5,42.0,0.0,12.2,1,920.0,JG,503.0,0.0,151.0,,,,,,True,,6.0,0.9131211539734004,3174.0,3.59375,0.744186046511628,2.674418604651163,16.046511627906977,10.072992700729927,27296.399999999998,43483.799999999996,,16.2,0.29359334549613303,,,11.75233644859813,5923.177570093459,1208.8799999999999,920.0,18.0,513,810,810,1323.0,8.82,28.906666666666666,1333.08,3188.7,1487.7,1701.0,1701.0,0.0
